Categoria;Girone;Pos;Squadra;Punti;Giocate;Vinte;Pareggiate;Perse;GF;GS;DR
Under 14;Girone A;;;Calcio Zola Predosa;40;14;13;1;0;123;1
Under 14;Girone A;;;Sasso Marconi 1924;37;14;12;1;1;92;5
Under 14;Girone A;;;Persiceto 85;33;14;11;0;3;89;15
Under 14;Girone A;;;Progresso;27;13;8;3;2;91;10
Under 14;Girone A;;;Atletico Borgo;23;13;7;2;4;55;27
Under 14;Girone A;;;Faro Gaggio Montano;23;15;7;2;6;54;36
Under 14;Girone A;;;Idea Calcio Petroniano;16;14;5;1;8;30;53
Under 14;Girone A;;;Csp Pontecchio;10;14;3;1;10;14;80
Under 14;Girone A;;;Calcio Barca Casteldebole;5;13;1;2;10;5;86
Under 14;Girone A;;;Valsetta Lagaro;4;12;1;1;10;7;88
Under 14;Girone A;;;Ponte Ronca (-2);-2;14;0;0;14;6;165
Under 14;Girone B;;;Real Sala Bolognese;38;14;12;2;0;78;11
Under 14;Girone B;;;Corticella;31;11;10;1;0;71;4
Under 14;Girone B;;;Barca Reno;29;13;9;2;2;53;7
Under 14;Girone B;;;Felsina;20;14;6;2;6;32;33
Under 14;Girone B;;;Polisportiva Zola;18;13;6;0;7;31;37
Under 14;Girone B;;;Crespo Calcio;17;12;5;2;5;22;18
Under 14;Girone B;;;Enjoy;14;12;4;2;6;20;25
Under 14;Girone B;;;Basca 2002;11;13;3;2;8;19;34
Under 14;Girone B;;;Fortitudo Calcio;4;14;1;1;12;7;100
Under 14;Girone B;;;Galliera 2009;3;12;1;0;11;7;71
Under 14;Girone B;;;Bologna Women U17 *;12;10;3;3;4;16;24
Under 14;Girone C;;;Real Casalecchio;33;11;11;0;0;94;5
Under 14;Girone C;;;Siepelunga Bellaria;27;11;9;0;2;43;17
Under 14;Girone C;;;Fossolo 76 Calcio;24;10;8;0;2;50;12
Under 14;Girone C;;;Pontevecchio;24;13;8;0;5;60;18
Under 14;Girone C;;;Murri San Lazzaro;16;13;5;1;7;30;42
Under 14;Girone C;;;Castenaso Calcio;10;12;3;1;8;23;46
Under 14;Girone C;;;Sporting Pianorese 1955;8;10;2;2;6;14;57
Under 14;Girone C;;;Pgs Ima;4;10;1;1;8;19;54
Under 14;Girone C;;;Circolo San Girolamo;4;12;1;1;10;9;91
Under 14;Girone C;;;Tozzona Pedagna Sq. B *;2;12;0;2;10;13;115
Under 14;Girone D;;;Imolese Calcio 1919;39;13;13;0;0;69;1
Under 14;Girone D;;;Tozzona Pedagna;25;12;8;1;3;39;24
Under 14;Girone D;;;Medicina Fossatone;20;11;6;2;3;24;15
Under 14;Girone D;;;Jcr Juvenilia C. Ravaglia;17;12;5;2;5;20;32
Under 14;Girone D;;;Stella Azzurra Zolino;15;13;4;3;6;29;32
Under 14;Girone D;;;Libertas Castel S. Pietro;13;13;3;4;6;26;39
Under 14;Girone D;;;Osteria Grande;13;12;3;4;5;14;22
Under 14;Girone D;;;Reno Molinella 1911;12;12;3;3;6;22;39
Under 14;Girone D;;;Valsanterno 2009;11;12;3;2;7;11;31
Under 14;Girone D;;;A. Placci Bubano Mordano;7;12;2;1;9;23;42
